Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Owned By,Owned By,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
136647065,Update Driver ,manage driver,5,"Jan 9, 2017","Jan 22, 2017",feature,1,unstarted,"Dec 24, 2016",,,Chong Jin Hui,"As a staff, I can update driver information so that I can keep track of the latest driver information.",https://www.pivotaltracker.com/story/show/136647065,,,,Plan the user interface,not completed,Code the user interface,not completed,Connect to database,not completed,Code the function classes,not completed,Test the function,not completed
136647111,Deactivate Route,manage route,5,"Jan 9, 2017","Jan 22, 2017",feature,1,unstarted,"Dec 24, 2016",,,Chong Jin Hui,"As a route, I can deactivate route so that the route information will not be displayed during schedule creation.",https://www.pivotaltracker.com/story/show/136647111,,,,Plan the user interface,not completed,Code the user interface,not completed,Connect to database,not completed,"Code the function classes (domain, control, data access, driver)",not completed,Test the function,not completed
136647101,Update Route,manage route,5,"Jan 9, 2017","Jan 22, 2017",feature,1,unstarted,"Dec 24, 2016",,,Chong Jin Hui,"As a staff, I can update route information so that the route information is always up-to-date",https://www.pivotaltracker.com/story/show/136647101,,,,Plan the user interface,not completed,Code the user interface,not completed,Connect to database,not completed,"Code the function classes (domain, control, data access, driver)",not completed,Test the function,not completed
136647097,View Route,manage route,5,"Jan 9, 2017","Jan 22, 2017",feature,1,unstarted,"Dec 24, 2016",,,Chong Jin Hui,"As a staff, I can view the route information so that I can search the route information whenever it is needed.",https://www.pivotaltracker.com/story/show/136647097,,,,Plan the user interface,not completed,Code the user interface,not completed,Connect to database,not completed,"Code the function classes (domain, control, data access, driver)",not completed,Test the function,not completed
136647091,Create Route,manage route,5,"Jan 9, 2017","Jan 22, 2017",feature,2,unstarted,"Dec 24, 2016",,,Chong Jin Hui,"As a staff, I can create new route so that the route information will be up-to-date",https://www.pivotaltracker.com/story/show/136647091,,,,Plan the user interface,not completed,Code the user interaface,not completed,Connect to database,not completed,"Code the function classes (domain, control, data access, driver)",not completed,Test the function,not completed
136647211,View Price Rate,manage price rate,5,"Jan 9, 2017","Jan 22, 2017",feature,1,unstarted,"Dec 24, 2016",,,Chong Jin Hui,"As a staff, I can view price rate so that I can search price rate information whenever it is needed.",https://www.pivotaltracker.com/story/show/136647211,,,,Plan the user interface,not completed,Code the user interface,not completed,Connect to database,not completed,"Code the function classes (domain, control, data access, driver)",not completed,Test the function,not completed
136647207,Create Price Rate,manage price rate,5,"Jan 9, 2017","Jan 22, 2017",feature,1,unstarted,"Dec 24, 2016",,,Chong Jin Hui,"As a staff, I can add new price rate so that I can use new price rate for the routes",https://www.pivotaltracker.com/story/show/136647207,,,,Plan the user interface,not completed,Code the user interface,not completed,Connect to database,not completed,"Code the function classes (domain, control, data access, driver)",not completed,Test the function,not completed
136647189,View Bus,manage bus,5,"Jan 9, 2017","Jan 22, 2017",feature,1,unstarted,"Dec 24, 2016",,,Chong Jin Hui,"As a staff, I can view bus information so that I can search bus information whenever it is needed",https://www.pivotaltracker.com/story/show/136647189,,,,Plan the user interface,not completed,Code the user interface,not completed,Connect to database ,not completed,"Code the function classes (domain, control, data access, driver)",not completed,Test the function,not completed
136647187,Deactivate Bus,manage bus,5,"Jan 9, 2017","Jan 22, 2017",feature,1,unstarted,"Dec 24, 2016",,,Chong Jin Hui,"As a staff, I can deactivate bus information so that the bus cannot be selected during schedule creation if the bus is not available",https://www.pivotaltracker.com/story/show/136647187,,,,Plan the user interface,not completed,Code the user interface,not completed,Connect to database,not completed,"Code the function classes (domain, control, data access, driver)",not completed,Test the function,not completed
136647183,Create Bus,manage bus,5,"Jan 9, 2017","Jan 22, 2017",feature,2,unstarted,"Dec 24, 2016",,,Chong Jin Hui,"As a staff, I can add new bus so that the bus information can up-to-date.",https://www.pivotaltracker.com/story/show/136647183,,,,Plan the user interface,not completed,Code the user interface,not completed,Connect to databse,not completed,"Code the function classes (domain, control, data access, driver)",not completed,Test the function,not completed
